Title,Views,Favourites,Comments
Universal compassion,0,2,0
Tranquility,0,10,1
Firecracker,0,9,0
Flying Monastery,0,9,0
Relaxation,0,8,2
Task,0,8,1
Shapes,0,20,1
Vessel,0,8,0
Beyond concepts,0,9,1
Mindful feeling,0,41,2
Performance,0,8,1
Sensitivity,0,5,0
Pray,0,10,3
Yantra Garden,0,8,0
Watching the river,0,10,1
Kitsune Spirit,0,12,1
Spiritual comfort,0,12,0
Keep relaxing,0,10,1
Manifestation,0,11,1
Love all emotions,0,22,1
Elephant deity,0,6,0
Elevation prayer,0,5,2
Flight inside,0,8,0
Clearing,0,5,0
Heart healing,0,10,2
Spiritual care,0,8,2
Be and feel,0,13,1
Zen fish,0,14,1
Another mandala,0,7,0
Rest,0,6,2
Gate to Heaven,0,8,1
Ordinariness,0,10,1
Greater worlds,0,10,0
Zen priest,0,7,0
Go inside,0,9,0
Wounds,0,8,1
Apparition,0,9,0
Hahahyena,0,4,0
Care cats,0,11,1
Heavenly dynasty,0,3,0
Ray of light,0,6,2
Rise,0,7,0
Celestial visitors,0,9,1
Every breath,0,7,2
Love field,0,8,1
The devil,0,10,3
Coldness and warmth,0,31,1
Discovery,0,13,0
Crystal Magic,0,8,1
Clarity,0,16,2
Prepare for heaven,0,4,0
Other dimension,0,5,0
Seraphim,0,13,1
Liberated world,0,8,0
Arising,0,7,3
Healing place,0,8,0
Hurt,0,5,0
Bat friends,0,6,0
Nice to meet you,0,6,1
Ascended being,0,7,2
Sacred water,0,5,1
Zen Paradise,0,11,0
Anger,0,5,1
Company,0,5,0
Diversity in expression,0,13,2
Pitch,0,4,0
Energy healing,0,4,1
Inner dimensions,0,5,0
Sitting deity,0,6,0
Cloud castles,0,6,1
Brain care,0,9,2
Carve your own path,0,14,0
Catscension,0,4,0
Mysterious chamber,0,5,0
Protective spider,0,4,0
Inner child,0,36,7
Feeling and growing,0,6,0
Learn from each other,0,7,0
Annoying saint,0,6,1
Volcano,0,7,0
Death Liturgy,0,10,0
Transcendental forest,0,9,1
Celestial family,0,10,3
Zenthronement,0,6,1
Whimsical snail shell,0,14,0
Recreation,0,18,1
Guard your soul,0,10,2
Heartlands,0,8,0
Approach,0,23,1
Wonder,0,5,0
Have a nice dream,0,7,0
Zen walk,0,6,0
Thorns,0,5,0
Skywalker,0,9,0
Grow,0,7,2
Moon Lilies,0,12,1
Pond with frogs,0,39,1
Medicine,0,7,0
Sacred sense,0,4,0
Substrate,0,5,0
Astral villagers,0,9,0
Monk-eys,0,10,1
Dragons are angels,0,11,1
Divine love atom,0,3,0
Toxic positivity,0,20,1
School,0,10,0
Channels,0,6,1
Above the duality,0,9,0
FROG,0,6,0
Cat,0,5,0
Sensitive,0,11,1
Raise,0,8,0
Grief,0,12,1
Transition,0,6,0
Ascended meeting,0,6,0
Shambhala,0,7,1
Cosmic healer,0,5,0
Mysterious opening,0,7,0
Hell and heaven,0,8,0
Hologram,0,8,0
Exercise,0,10,1
Aspirant,0,7,0
White hole,0,8,1
Furry pile,0,17,0
God balances everything,0,7,0
Feel,0,16,0
Siddhi,0,6,1
End of the world,0,7,1
Let heaven descend,0,6,2
Lotus tears,0,5,0
Walk slowly,0,7,0
Harmony Husky,0,11,1
Lights,0,10,1
Ether world,0,8,1
Eternal dance,0,8,0
Bells,0,6,0
Ancestor,0,11,2
Process,0,5,0
Enlightened Room,0,7,1
Master,0,8,1
Healing process,0,19,2
Trash Life,0,12,1
Holy shit,0,7,2
Don't forget your roots,0,6,2
Pet ghost,0,3,0
You are another me,0,9,2
Oasis,0,11,2
Care,0,6,2
Opening,0,6,0
Healing field,0,6,1
Watermelon,0,20,5
Magical dragon,0,9,1
Breakthrough,0,7,3
Ein Engel,0,4,0
Blaues Auge,0,7,0
Health insurance,0,5,3
Let me in,0,5,1
Eternal love,0,8,1
Don't get lost,0,8,1
Evolution is the solution,0,5,0
Healer,0,3,2
Meditatives Mandala,0,10,0
Walking on earth,0,8,2
Dematerialization,0,5,2
For world peace,0,6,1
Darshan,0,5,0
Metaphysical body,0,5,2
Divine ascension,0,4,1
Feelers,0,6,1
Mandala for inner peace,0,3,0
Mystical lantern,0,5,1
Hallucinate,0,2,0
Explorer,0,9,0
Listen,0,6,3
Pray for liberation,0,4,1
Story,0,5,2
Mandala gate,0,4,1
Etheric temple,0,6,0
Rose,0,9,0
Help,0,10,0
Lotus bed,0,11,2
Comfort,0,3,2
Conversation,0,8,0
Be present,0,4,0
Bad girl,0,6,0
Other people,0,11,0
After every storm,0,7,1
Crazy,0,7,0
Open your mind,0,5,0
Autoritaetspersonen-Logik fuer Anfaenger,0,10,0
Hyena pile,0,7,0
My face irl,0,5,0
"Veni, vidi,...",0,5,0
Society,0,13,2
Real me,0,10,1
Deity yoga,0,9,2
Bunte Blasen,0,6,1
Roots,0,3,0
Higher,0,8,1
Business,0,7,2
Enlighten the way,0,6,1
Refuge,0,5,2
Mythical heaven,0,5,0
Home of yogis,0,7,1
Shine,0,8,3
Celestial master,0,5,0
Seed,0,5,1
Being different,0,18,4
Patience,0,8,2
Sonne im Gestein,0,2,0
Geordnetes Chaos,0,12,0
The Circle,0,10,1
Exit,0,5,2
Seashore,0,12,0
Solace,0,7,1
Armor,0,10,2
Know your boundaries,0,6,2
Enlightened mystic,0,5,6
Willow,0,5,0
Love prayer,0,7,2
Lotus dragon,0,5,0
Nirvana Dance,0,5,5
Tourists,0,15,7
Seeker,0,5,2
Infusion,0,7,4
Call me,0,7,1
Great Mother,0,8,2
Wild Cow Dog,0,9,2
The fly,0,6,4
Expression of the universe,0,12,10
Healing,0,16,5
From fight to light,0,6,0
Make peace,0,12,2
Enjoy the ride,0,7,2
Cosmic dancers,0,5,2
Messenger,0,5,2
Spiritual initiation,0,3,1
Abode,0,3,3
Relax,0,12,7
Tea ceremony,0,4,4
Celebrate the universe,0,7,4
Have fun,0,12,6
Arctic Hyena,0,9,2
Inner movement,0,6,3
Rainforest,0,9,5
Cult,0,9,5
Alignment,0,7,4
Separation and unity,0,13,9
Microbe,0,9,9
Grumpy,0,13,3
Wortspiele Pt. 2,0,8,7
Contemplation,0,9,3
Life is a mystery,0,17,9
Shambhala,0,11,2
Missionaries,0,12,9
Communion,0,9,0
Find your flow,0,9,4
Aaaaww yeah,0,5,5
Messy raccoon,0,7,2
Liberation,0,4,0
White elephant,0,5,0
Meeting and melting,0,8,0
Free spirit,0,7,0
Pilgrim,0,8,4
Pulling,0,13,0
How to be friends with an introvert,0,12,2
Shamanism for beginners,0,5,8
Swim,0,13,5
Everything is a mirror,0,8,3
Devotees,0,6,0
Be balanced,0,5,0
Bloom,0,7,3
Karmic debt,0,15,4
Space language,0,5,3
Hiding,0,3,0
Not ugly,0,8,10
Attention,0,5,0
Shantiland,0,5,0
Guide,0,4,0
Bananas,0,9,0
A simple critter,0,9,0
Invitation,0,5,0
Discipleship,0,6,0
Die Wahrheit,0,6,0
Being of light,0,5,0
Mad,0,5,3
Trippy monk,0,4,0
Who are you,0,5,1
Starry road,0,10,0
Warrioress,0,3,10
Yogis have less worries,0,7,3
All cats are gray at night,0,6,0
Purrpose,0,10,0
Work,0,17,6
Everlasting bliss,0,6,3
Buddhist heaven,0,15,6
Forgiveness frees,0,9,0
Kitsunemaru,0,6,3
Celestial throne,0,3,0
Loving others,0,13,0
You are doing great,0,3,2
Stuck on the earthly plane,0,3,2
Flight,0,6,2
Drop definitions,0,7,0
Zenvolution,0,6,0
Wise owl,0,6,3
Grid,0,3,0
Meditating in Nirvana,0,6,0
Non-attachment,0,5,4
Confession,0,7,1
Appreciation,0,14,7
Fallen angel,0,6,0
Let's get naked,0,15,7
Spiritual oasis,0,5,0
Watch your consciousness,0,3,3
Highest evolved being,0,2,7
Balance,0,3,0
Uptight,0,2,2
My decisions,0,9,10
Eat healthy,0,6,0
Feng Shui,0,6,0
Lovemonster,0,4,0
Why angels wear robes,0,10,0
Buddha field,0,3,0
Argument,0,6,2
Nixen,0,2,0
Vacation,0,7,0
Bat-eared fox,0,8,0
Flirting,0,10,3
The Way,0,17,1
See,0,3,0
Take your time,0,2,2
Fire and ice,0,12,1
My body is a temple,0,11,4
Kundalini energy,0,4,0
Into the light,0,6,0
Liberty,0,4,0
Wellbeing,0,9,1
High priestess,0,7,2
Trees talk too,0,5,5
Circle of life,0,6,2
Der Schnuffel,0,4,0
Vaporeon,0,18,2
Treatment,0,9,1
The cat,0,8,2
Mood,0,4,0
Hidden crystals,0,4,2
Firework,0,6,0
Chilled fish,0,7,2
Love your body,0,8,1
Reaction,0,11,3
Magic book,0,5,0
Sit,0,7,0
A llama and a lama,0,5,2
Experience of divine grace,0,6,2
Image,0,7,0
Diversity,0,6,0
Cuteness Overlord,0,4,2
Schneegeschenk,0,3,0
Odd bird,0,2,0
Spirit animals just want to play,0,2,0
Weirdo,0,5,0
Tree,0,10,2
Self-care,0,8,7
Save your energy,0,5,2
Mystics illuminate,0,4,0
Transcendental canines,0,4,0
Nature heals,0,4,2
Sensory overload,0,10,1
Blessed turtle,0,3,0
Be soft,0,9,2
Equality,0,7,0
Nose,0,2,2
We don't matter that much,0,2,4
Stages to enlightenment,0,8,0
Religion teacher,0,4,0
Monastery,0,2,0
I have given up,0,9,2
Worldly responsibilities,0,8,2
Self-initiation,0,7,0
Painting painted dog,0,9,6
Transcendental shopping,0,10,2
The truth seeker,0,4,2
R.I.P.,0,3,4
Travel,0,5,2
Lesson in Chaos Magick,0,4,0
Biblically accurate angel,0,8,0
Praying goat,0,5,2
You're mind-blowing,0,8,3
Kundalini Dragon,0,8,0
Truths and illusions,0,5,0
Growing wings,0,3,1
Competetive monks,0,5,0
Invocation,0,8,0
This is fine,0,3,0
Aliens,0,7,1
Programming,0,6,4
Noise,0,7,0
Monkey mind,0,5,2
Moksha,0,6,0
Thrive,0,6,2
The wise dragon,0,7,2
Archaic Revival,0,5,0
Zen friends,0,10,1
Slow down,0,11,0
Psychedelic meditation,0,13,2
Satori,0,5,0
Revelation,0,7,2
Metaphysical creature,0,5,0
Ducks,0,4,2
Hermit,0,4,0
In the mountains,0,5,5
Wortspiele,0,3,5
Barcode zebra,0,4,0
How to transcend the artist's ego,0,9,0
Zen koans,0,2,0
Yoga bunnies,0,3,2
Open channel,0,4,0
Divinity,0,6,0
Space traveller,0,4,2
Forgiveness wolf,0,12,4
Being weird again,0,4,2
Let's hang around,0,2,0
Get well soon,0,2,3
Stereotypes,0,6,0
Non-vegetarian wall socket,0,2,2
I wanna eat you,0,5,0
Parallel universes,0,4,0
Mantra Mantas,0,5,0
Foo Dogs,0,3,5
Mushroom goat,0,6,1
Bliss,0,4,0
High goats,0,5,0
Totem animals,0,4,0
Boring art,0,4,0
The chaos magician,0,3,5
Advice,0,2,0
Rishika,0,4,0
Silly cartoons,0,5,2
Unburdening,0,4,1
Beauty,0,1,0
Butts,0,5,1
Circle of Samsara,0,4,2
Yogi,0,3,0
Illusion,0,6,0
Ripening and merging,0,5,0
Death,0,2,0
I love rave,0,3,0
Difference,0,2,2
Zazen,0,3,0
Druid,0,4,0
Meaningless,0,3,2
Aufsteigende Engel,0,3,0
Satan is a dealer,0,5,0
Failed experiment,0,5,3
Inner guru,0,1,0
Live more in your heart,0,3,1
True colors,0,5,0
Gnoll clanspeople,0,2,0
Zen Frog,0,3,0
Hakuna Matata,0,4,3
Tor der Stille,0,3,0
Ort der Ruhe,0,3,0
Raum der Schwerelosigkeit,0,3,0
Milky Way,0,4,3
Sacrifice,0,6,4
Sacred places,0,3,0
Don't look for masters,0,3,0
Elevate yourself from the worldly affairs,0,2,0
Otherworldly gate,0,2,0
Flowering,0,6,0
Healing crystal,0,5,1
Bird Ball,0,3,2
Dragon tamer,0,6,1
Lotus flower,0,3,1
Catnip,0,5,0
Magical journey,0,4,0
Hanging out,0,3,0
Fuck-o-phant,0,3,0
Eye of Providence,0,4,0
Solar system,0,4,0
Useless tree,0,1,0
Mandala,0,2,0
It's okay to make mistakes,0,4,0
Schicke orientalische Markings,0,2,0
Jivanmukti Dance,0,2,0
Cool pool,0,5,0
Pathfinder,0,2,0
Samadhi Dog,0,3,0
Fata Morgana,0,5,0
Tropical Turtle,0,5,0
Soda Cat,0,3,0
Jungle Flow,0,3,0
Freundschaft,0,3,0
Nonsense,0,2,0
Slow snail,0,3,0
Be nice to nature,0,3,0
Owlet,0,3,6
We're all a little weird,0,2,4
"I think, therefore I am suffering",0,2,3
Kundalini Cat,0,1,8
Illuminate,0,4,0
"Wege ergeben sich, wenn man sie beschreitet",0,5,4
Mystake,0,4,12
Mandalas,0,5,2
Fiction,0,5,0
Don't let your mind fuck you up,0,7,0
A sage and his disciple,0,4,0
Focus on the moment,0,1,0
Guide to enlightenment,0,1,0
Strength,0,5,0
The Great Nothing,0,3,0
The Earthling,0,3,1
Temple within,0,2,0
A liberated being,0,4,0
High vibrations,0,2,0
Let's open up a cult,0,5,1
Be unconditionally,0,3,1
Falling in love,0,7,0
Limitless,0,2,0
Love alchemy,0,3,0
Follow me,0,3,21
River of life,0,6,1
Aura,0,7,2
Meditation is awesome,0,2,0
I like derpy things,0,4,0
Shut up,0,2,1
Chill out,0,8,0
Goat guys are sexy,0,7,0
Paradoxes,0,4,0
Nominds,0,7,1
Minimum,0,0,0
Enlighten your soul,0,2,0
The universe becomes aware of itself,0,5,0
Samadhi,0,2,0
Alien dimension,0,6,0
Witchdoctor,0,3,0
Bang your drum,0,1,1
A free soul is a happy soul,0,2,0
Thought,0,0,0
Intuition,0,4,0
Self realization,0,4,0
Positive energy,0,4,0
Transcendence,0,2,0
Fluffy hugs,0,5,2
Hideout,0,4,0
Mystical lamp,0,0,1
Get out of the matrix,0,1,2
Medium,0,1,0
Calming tea,0,9,1
Nonexistence,0,6,2
Rebel,0,1,0
Universal love,0,3,0
Being,0,3,0
Peaceful solitude,0,4,3
Beyond spacetime,0,3,0
Dead,0,5,2
Self awareness,0,2,0
Destroy,0,2,0
Let's all just go raving,0,4,2
Don't take your mind so seriously,0,3,2
Different types of halos,0,8,1
Everywhere,0,2,0
Spiritual evolution,0,2,0
Dog,0,4,5
Inner sanctuary,0,4,1
Ascended master,0,0,0
Truth versus liar,0,4,1
Motivational parakeet,0,3,1
One with the singularity,0,3,0
Enjoy yourself,0,6,2
Enter the chaos field,0,4,0
Trancemutation of the mind,0,5,0
My last fuck,0,3,2
Cleansing,0,0,0
Voidslug,0,3,1
Pathless,0,3,0
Universal flow,0,1,0
Soultrip,0,2,0
Remembrance,0,3,0
Channeling,0,4,1
Inner peace,0,3,0
Shattered shell,0,2,0
Eternal play,0,3,2
Avatar,0,2,0
The world needs more sloths,0,2,0
Radioactive,0,3,2
Trippy love,0,3,0
Light at the end of the tunnel,0,3,0
Wormhole,0,0,1
Wholeness,0,1,1
Consciousness river,0,2,0
Taoism,0,4,0
Hidden gap,0,6,0
Inner journey,0,1,0
Science,0,4,1
The force awakens,0,4,0
Nihilist cat,0,2,0
Telepathy,0,3,3
Spirit medicine,0,2,0
Shapeless,0,5,2
Keep it simple,0,5,0
Reflecting,0,3,0
Sassy transcendence,0,4,2
The happiest being in the world,0,3,0
Self mastery,0,2,0
Zenlightened,0,2,0
Ascet,0,0,0
Ego death,0,3,0
Guru,0,2,0
The perfect state of harmony,0,1,0
Inner middle,0,0,0
Humor,0,3,0
Excuse me while I am being fabulous,0,2,1
Tame your mind,0,2,0
Release the universe,0,3,0
You're nothing but a thought,0,1,0
Visitor,0,4,1
Celebrate your triviality,0,1,0
We are all one,0,0,0
Let your spirit soar,0,4,0
Yoda,0,2,1
Don't look back,0,5,1
Buddha nature,0,2,0
Empty,0,2,0
Love your false self,0,2,0
There is so much to unlearn,0,3,0
Rude pigeon,0,4,0
Voidified,0,4,0
Grateful,0,2,0
Insignificant,0,5,0
Psychedelic fairytale,0,5,0
Blissfully dying inside,0,4,0
I believe in magic,0,6,0
Monument,0,2,0
Devotion,0,2,0
Friends,0,7,0
Cosmic temple,0,3,0
Be your own light,0,5,1
Infinite,0,0,0
Witch Sisters,0,2,0
Nirvana love,0,7,2
Destruction of the universe,0,4,1
Just be together,0,3,0
Halo,0,0,0
Screw this realm,0,2,2
Stillness,0,1,1
Watching,0,1,2
Intuitive,0,2,0
Waterfall,0,2,1
Transcend your mind,0,1,1
Monk llama,0,3,9
Authority is an illusion,0,3,4
Nourish your soul,0,5,7
Illuminate your spirit,0,1,1
Self acceptance,0,3,0
Laughter,0,4,5
Awesome,0,5,0
You are a frequency,0,3,0
Transcendence Express,0,3,1
Recycling,0,5,1
Intergalactic octopus,0,3,5
It's ok to be nothing,0,3,1
Now,0,1,0
Guardian,0,4,0
Trust,0,3,3
Third eye,0,5,0
Dreaming life,0,5,1
Beyond the veils,0,1,3
All,0,1,0
Don't stop growing,0,0,1
Only the universe knows,0,4,1
Journey to Heaven,0,6,5
Magical onion,0,2,0
Phoenix,0,2,2
Spread good vibes,0,6,1
Savior,0,1,4
Level up,0,5,4
Boundless soul inside a bounded body,0,3,0
Back to anarchy,0,4,0
Awaken,0,3,0
Leaving,0,2,3
My pet,0,4,2
First attachment,0,3,8
Prophet,0,7,0
The Blissful Ascension of the Mystic Sheep,0,4,0
Magic lesson,0,2,1
Walking on the Higher Path,0,3,5
Wrath,0,5,0
Happiness,0,6,0
Dude,0,6,0
You're celestial,0,3,1
Peace of mind,0,1,1
Esoteric,0,0,0
Your mind is your magic wand,0,3,1
Stay true to your own flow,0,5,2
Love universe,0,4,0
Blissful enlightenment,0,3,0
Deity,0,6,0
Let's all be trash,0,4,0
All your gods are mad,0,2,0
AAAAAAAAAAAAAAAAAAAAAAAA,0,4,1
The path is the goal,0,2,0
Become the dog,0,4,0
What we see is not all there is,0,5,0
Talk nonsense,0,1,2
Ascension tunnel,0,4,0
Selfless,0,0,1
Home,0,1,5
Live forever,0,2,0
Emergency instruction,0,3,3
Finding oneself,0,3,0
Extraterrestrial from another dimension,0,3,0
Zen Hen,0,4,5
Be open to change,0,5,0
Ascending spirit tree,0,2,0
The truth,0,4,0
You don't exist,0,2,0
Spiritual healer,0,2,0
Tripping,0,6,0
Mask,0,2,0
See beyond the walls,0,3,0
One with the universe,0,3,0
Evolution,0,2,0
Psychedelic spirituality,0,1,0
Protect the bees,0,3,0
Waking up,0,6,0
Center,0,5,0
Fifth dimension,0,2,0
Mother,0,0,0
Magic for Dummies,0,1,0
The Catorcist,0,2,0
Void hammer,0,5,1
Cosmic synchronicity,0,3,0
Underworld,0,2,0
Mortal coil,0,6,0
Universal consciousness,0,3,0
Psychology,0,7,0
Silence,0,1,0
Ascended beings,0,3,0
Redemption,0,1,0
Souls,0,2,1
Getting high,0,4,2
Otherworld,0,4,0
Guides of inner balance,0,4,0
Tides,0,7,2
Useless,0,5,1
Perpetual evolving moment,0,2,0
Nobody,0,1,0
Ecstasiate,0,6,0
Ritual,0,3,2
Calling the spirits,0,5,0
Secret earth,0,4,2
How long is forever,0,4,0
Mysterious elevator,0,1,0
He hate hoomans,0,4,0
Obstacles,0,2,0
Robot Unicorn Attack,0,8,0
Battle of Mages,0,4,0
Big Bang,0,4,0
Touched by the void,0,3,0
Dance with the elements,0,4,0
Creepy cook,0,2,0
Unity,0,4,0
Worship nothing,0,2,0
Blame and shame,0,5,1
Theurgy,0,5,0
Witch,0,3,0
How to be a necromancer,0,2,1
Ascension,0,2,0
Repairing the universe with cosmic love ,0,5,2
Anatomy sheet,0,1,10
I can see all,0,3,2
Alternative universe,0,4,2
Psychonaut,0,2,0
Misfits,0,6,0
Bruh,0,0,2
Chang,0,7,1
Sage,0,7,3
Alusuit,0,0,0
Broken software,0,1,0
The shaman's path,0,4,0
Architect,0,1,2
Dreaming of free love,0,2,1
Eternal thriving,0,5,1
Everafter,0,2,0
Salvation,0,3,0
Mind masks,0,0,0
Anarchy,0,1,1
Empty mind,0,3,1
Walking to paradise,0,5,2
New reference sheet,0,2,3
Sparklemaru,0,4,2
Puhbsjoga,0,4,2
Ocean of emotions,0,6,0
Healing scars,0,3,0
Hall of mirrors,0,6,0
Taking down the walls,0,5,1
Influence,0,7,0
Energize,0,5,1
Go to bed,0,2,2
Emotional outburst,0,2,3
Burnout,0,2,0
Acceptance,0,3,0
Evolution of consciousness,0,1,0
The only way out is in,0,5,0
Stairway to heaven,0,2,0
Perpetuum mobile,0,7,0
Great spirit,0,6,0
Source,0,3,0
Subconscious universe,0,4,0
My look,0,7,2
Thinking differently,0,2,0
Badass bagpiper,0,9,5
Handsome sexy lycanthrope,0,5,0
Psy,0,3,0
Acid rat,0,2,0
Madness,0,3,0
Creative expression,0,2,0
Female,0,3,0
Unfold,0,4,3
Light and darkness,0,5,1
Walking the path of selflessness,0,5,2
In a relationship with chaos,0,2,3
Mind control,0,2,0
Illumination burns cardhouses,0,1,0
The Thing,0,5,1
RetroWave text generator proves my dopeness,0,1,3
Fuck off,0,6,0
Ladybug,0,4,0
Transformation process,0,0,0
Oversensitive,0,1,0
Dead inside,0,3,2
Ask the universe,0,3,0
Shrine,0,0,0
Mage's Bar,0,2,0
Forgiveness,0,1,0
Physiology,0,2,0
Cosmic evolution,0,1,3
